Filename	Book Title	Poet
LuZawThit_LoveWords.pdf	ချစ်ခြင်းအားဖြင် ချစ်ခြင်းဖွဲ့စကားလုံးများ	လူဇော်သစ်
ManyWriters_LadderLife.pdf	ဘဝလှေကား	အစုံ
maung_thar_noe.english_poems.pdf	နိုင်ငံခြားကဗျာခံစားချက်များ	မောင်သာနိုး
MgChawNwe_Virtual.pdf	အတု	မောင်ချောနွယ်
MgHlaMyo_FirePlay.pdf	မီးပြဇာတ်	မောင်လှမျိုး
MgKhaingMar_PyoneLiteSanParShinMaYal.pdf	ပြုံးလိုက်စမ်းပါရှင်မရယ်	မောင်ခိုင်မာ
MgSeinWin_LovePoems.pdf	သမုဒယဝတ်ရည်	မောင်စိန်ဝင်း
MgSeinWin_ThawKaChaeYar.pdf	သောကခြေရာရတနာ	မောင်စိန်ဝင်း
MgTharNoe_HtinShuu.pdf	ထင်းရှူးပင်ရိပ်	မောင်သာနိုး
MinThuWon_LukalayTwaeYalMateSweBirdkalaytwae.pdf	လူကလေးတို့ရဲ့မိတ်ဆွေငှက်ကလေးတွေ	မင်းသုဝဏ်
MinThuWun_ForMgKhwae.pdf	မောင်ခွေးဖို့ကဗျာများ	မင်းသုဝဏ်
MinThuWun_HaikuPoem.pdf	ဟိုက္ကူကဗျာမြည်းစရာ	မင်းသုဝဏ်
MinThuWun_InnLyarKanthoeOKuThoe.pdf	အင်းယားကန်သို့အိုကိုတို့	မင်းသုဝဏ်
MinThuWun_KabyarYayChin.pdf	ကဗျာရေးချင်စာစပ်သင်	မင်းသုဝဏ်
min_thu_wun_myanmar_sar_n_hmu.pdf	မြန်မာစာ မြန်မာမှု	မင်းသုဝဏ်
MinThuWun_ThaPyaeNyo.pdf	သပြေညို	မင်းသုဝဏ်
MyaeLattMinLwin_Poems.pdf	အရုဏ်သစ်မြူးဖူးပွင့်ဝေစည် မန်းရွှေပြည် ကဗျာများ	မြေလတ်မင်းလွင်
MyintSoeHlaing_ChitThuPresent.pdf	ချစ်သူ့လက်ဆောင်	မြင့်စိုးလှိုင်
NaingWinSwe_YaySanLan.pdf	ရေဆန်လမ်းသို့အပြန်	နှိုင်ဝင်းရွှေ
NayPaing_NiYarMaOnShoulder.pdf	ပခုံးပေါ်မှနိယာမများ	နေပိုင်
PadaythaYarzar_ThuzarPyoe.pdf	သူဇာပျို့	ပဒေသရာဇာ
Rakhaing_Razawun_Lunga.pdf	ရခိုင်ရာဇဝင်လင်္ကာ	
RAKHAINGROYALPOETS.pdf	ရခိုင်စာဆိုတော်များ	ထွန်းရွှေခိုင်
ShweMyaingPyoneLeiMaw_GoalandPoems.pdf	ပန်းတိုင်လမ်းနှင့်အခြားကဗျာများ	ရွှေမြိုင်ပြုံးလဲ့မောင်
TaunTwinEiAungThin.pdf	တောင်တွင်း၏အောင်သင်း	အစုံ
TintNhaung_MorningSong.pdf	မင်္ဂလာရွှေပြည်သီချင်းသည်	တင့်နှောင်း
TuFuPoems.pdf	စစ်တလင်းမှရှိုက်သံများ	မနှင်းပွင့် (မြန်မာပြန်)
Uni_Phone_Naing_lady_of_shallott.pdf	ရှားလော့ဒေဝီနှင့် ဘာသာပြန်ကဗျာများ	တက္ကသိုလ်ဘုန်းနိုင်
UPhone_NearandFar.pdf	နီးနီးဝေးဝေးအတွေးလက်ဆောင်	ဦးဘုန်း(ဓာတု)
VisitorandPoems.pdf	ကောင်းကင်စိတ်နဲ့မြေလိုကျင့်တဲ့ ဧည့်သည်ကြီးနှင့် သူ၏ကဗျာများ	နေခြူးနှင့်တင်မိုး
ZarNi_SnowPoems.pdf	နှင်းနုည အလှဖူးသစ်	ဇာနည်
Zawgyi_NyithitsinPoems.pdf	ညီသစ်စင်းကဗျာစု	ဇော်ဂျီ
ZawZawAung_Cowboy.pdf	နွားကျောင်းသား	ဇော်ဇော်အောင်
TinMoe_Poem80.pdf	ကဗျာ ၈၀	တင်မိုး
